"Id","5913e1da8b0ee5cf0c53b209","5b7de8ab463f260f62cebb7c","5913e1da8b0ee5cf0c53b206"
"Timestamp","dsit10/112 - Johnstone/1120054 - JRC - Johnstone River at Coquette Point/Real-time Data/Logger/Sonde - Conductivity","dsit10/112 - Johnstone/1120054 - JRC - Johnstone River at Coquette Point/Real-time Data/Logger/Sonde - SondeTemp","dsit10/112 - Johnstone/1120054 - JRC - Johnstone River at Coquette Point/Real-time Data/Logger/Sonde - Turbidity"
"Units","uS/cm","","NTU"
2017-05-31 05:40:00,41773.1,,6.19
2017-05-31 06:40:00,29470.3,,6.71
2017-05-31 07:40:00,27465,,4.82
2017-05-31 08:40:00,23357.1,,5.41
2017-05-31 09:40:00,18913.6,,5.51
2017-05-31 10:40:00,16526.3,,6.16
2017-05-31 11:40:00,15372.2,,5.64
2017-05-31 12:40:00,28340.1,,8.85
2017-05-31 13:40:00,40863.5,,18.11
2017-05-31 14:40:00,32885.8,,4.06
2017-05-31 15:40:00,27169.5,,4.77
2017-05-31 16:40:00,31282.3,,5.69
2017-05-31 17:40:00,26368.6,,6.56
2017-05-31 18:40:00,21036.3,,6.36
2017-05-31 19:40:00,16072.9,,4.42
2017-05-31 20:40:00,12848.7,,5.12
2017-05-31 21:40:00,10621.8,,6.14
2017-05-31 22:40:00,10851.4,,4.87
2017-05-31 23:40:00,44542.4,,5.38
2017-06-01 00:40:00,50452.8,,7.38
2017-06-01 01:40:00,51368.5,,8.12
2017-06-01 02:40:00,51591,,6.85
2017-06-01 03:40:00,51698.3,,6.92
2017-06-01 04:40:00,50881.3,,7.6
2017-06-01 05:40:00,51362.9,,5.87
2017-06-01 06:40:00,51147.1,,7.51
2017-06-01 07:40:00,33868.5,,9.6
2017-06-01 08:40:00,30461.2,,5.68
2017-06-01 09:40:00,25734.2,,7.92
2017-06-01 10:40:00,21679.6,,6.48
2017-06-01 11:40:00,17526.4,,6.66
2017-06-01 12:40:00,17643,,4.86
2017-06-01 13:40:00,28623.2,,14.51
2017-06-01 14:40:00,46857,,11.95
2017-06-01 15:40:00,50414.9,,14.91
2017-06-01 16:40:00,42690.6,,12.25
2017-06-01 17:40:00,38678.7,,11.81
2017-06-01 18:40:00,39300.8,,6.27
2017-06-01 19:40:00,27404.3,,12.31
2017-06-01 20:40:00,20634.6,,5.44
2017-06-01 21:40:00,17784.8,,4.52
2017-06-01 22:40:00,14518.7,,4.75
2017-06-01 23:40:00,12529.6,,4.59
2017-06-02 00:40:00,24047,,7.12
2017-06-02 01:40:00,49404.1,,13.29
2017-06-02 02:40:00,50674.6,,15.57
2017-06-02 03:40:00,50505.4,,10.7
2017-06-02 04:40:00,50975.1,,14.35
2017-06-02 05:40:00,50334.1,,11.2
2017-06-02 06:40:00,49769.5,,13.85
2017-06-02 07:40:00,38259.7,,9.09
2017-06-02 08:40:00,42412.1,,7.3
